Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS001_Login,Chrome 85.0.4183.121,,,2020-09-30 17:14:55,2020-09-30 17:15:32,36.868s,PASSED
,,,,,,,
Test Cases/TC003_PasswordBlank,Chrome 85.0.4183.121,,,2020-09-30 17:14:55,2020-09-30 17:15:02,7.332s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-09-30 17:14:55,2020-09-30 17:14:56,1.201s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 85.0.4183.121,,,2020-09-30 17:14:56,2020-09-30 17:15:00,3.189s,PASSED
"setText(findTestObject(""Object Repository/TC003_PasswordBlank/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 85.0.4183.121,,,2020-09-30 17:15:00,2020-09-30 17:15:00,0.745s,PASSED
"click(findTestObject(""Object Repository/TC003_PasswordBlank/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-09-30 17:15:00,2020-09-30 17:15:01,1.195s,PASSED
"waitForElementPresent(findTestObject(""TC001_LoginFieldBlank/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 10)",Chrome 85.0.4183.121,,,2020-09-30 17:15:01,2020-09-30 17:15:02,0.421s,PASSED
"verifyElementText(findTestObject(""Object Repository/TC001_LoginFieldBlank/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Chrome 85.0.4183.121,,,2020-09-30 17:15:02,2020-09-30 17:15:02,0.288s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-09-30 17:15:02,2020-09-30 17:15:02,0.078s,PASSED
,,,,,,,
Test Cases/TC004_WrongPassword,Chrome 85.0.4183.121,,,2020-09-30 17:15:02,2020-09-30 17:15:11,8.976s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-09-30 17:15:02,2020-09-30 17:15:03,0.444s,PASSED
